exp;TotalReads
1MDNA1;55190237
1MDNA2;66890689
1MRNA1;142753175
1MRNA2;101033574
2DDNA1;26939767
2DDNA2;37594688
2DRNA1;91585859
2DRNA2;112291940
3EDNA1;136930573
3EDNA2;98205169
3ERNA1;381996151
3ERNA2;423333234
4MDNA1;52294850
4MDNA2;50120540
4MRNA1;117817281
4MRNA2;118068073
5MDNA1;56396361
5MDNA2;60010438
5MRNA1;207732915
5MRNA2;203832240
6NDNA1;72730331
6NDNA2;38205908
6NRNA1;111104386
6NRNA2;92218938
7MDNA1;32442192
7MDNA2;10139127
7MRNA1;115189438
7MRNA2;107604794
