"exp","VELTANLAR_69","VELTENLAR_72","VELTENLAR_75","TotalReads"
"1MDNA1",2503581,37179021,0,39682602
"1MDNA2",991414,13361027,20993687,35346128
"1MRNA1",18099443,39799920,0,57899363
"1MRNA2",23600871,51753331,0,75354202
"2DDNA1",2738960,38952557,0,41691517
"2DDNA2",2773163,39813349,0,42586512
"2DRNA1",47560362,111478420,0,159038782
"2DRNA2",48936179,110839783,0,159775962
"3EDNA1",3668028,49115681,0,52783709
"3EDNA2",1904036,26167893,27172960,55244889
"3ERNA1",41833018,93418995,0,135252013
"3ERNA2",49661806,105879491,0,155541297
"4MDNA1",2875856,38415227,0,41291083
"4MDNA2",4545908,65274547,0,69820455
"4MRNA1",22727204,54540148,0,77267352
"4MRNA2",15966076,35151955,0,51118031
"5MDNA1",691748,9543610,28252915,38488273
"5MDNA2",642060,8577273,28083247,37302580
"5MRNA1",10106548,23685604,25928618,59720770
"5MRNA2",9013683,21570527,25663184,56247394
"6NDNA1",1069449,14001228,24575524,39646201
"6NDNA2",803469,9539979,29424963,39768411
"6NRNA1",6041119,13693091,26578640,46312850
"6NRNA2",6254965,14450671,25732182,46437818
"7MDNA1",570396,7768146,28850384,37188926
"7MDNA2",569270,9193650,28297224,38060144
"7MRNA1",20853752,44483754,0,65337506
"7MRNA2",17913506,40293549,0,58207055
