"exp","VELTENLAR_86","TotalReads"
"1MDNA1",46564582,46564582
"1MRNA1",167669808,167669808
"2DDNA1",46753485,46753485
"2DRNA1",141701790,141701790
"3EDNA1",46857539,46857539
"3ERNA1",153679333,153679333
"4MDNA1",48364940,48364940
"4MRNA1",138010415,138010415
"5MDNA1",45835339,45835339
"5MRNA1",151399436,151399436
"6NDNA1",48884417,48884417
"6NRNA1",156162659,156162659
"7MDNA1",54189406,54189406
"7MRNA1",193622308,193622308
"1MDNA2",54524791,54524791
"1MRNA2",139868957,139868957
"2DDNA2",55613954,55613954
"2DRNA2",188324473,188324473
"3EDNA2",44276505,44276505
"3ERNA2",126883133,126883133
"4MDNA2",43358770,43358770
"4MRNA2",139338720,139338720
"5MDNA2",41281102,41281102
"5MRNA2",137423729,137423729
"6NDNA2",44306248,44306248
"6NRNA2",128212778,128212778
"7MDNA2",53577525,53577525
"7MRNA2",147002289,147002289
